Feature,Importance
HbA1c,0.5406403555350376
GLUCOSE,0.41218217913342964
AGE,0.017401195802922646
BMI,0.01181421554681937
INCOME,0.004865968912664205
BREAKFAST,0.0043515534154532675
REGION,0.003647237937028192
OBESITY_2.0,0.0014417248320634634
SEX_2.0,0.0008664908870323473
OBESITY_4.0,0.0008466579948143154
SEX_1.0,0.0006335048838899504
OBESITY_5.0,0.0005982280140685292
OBESITY_3.0,0.0003443971384989552
OBESITY_6.0,0.00026620604885295494
OBESITY_1.0,0.00010008391742450031
